,config_id,LoadCase,Moment,C10Nucleus,C01Nucleus,C10Annulus,K1Annulus,K2Annulus,Kappa,K1Circ,K2Circ,K1Rad,K2Rad,FiberAngle,FiberAngleCirc,FiberAngleRad,y_ROM,y_IDP
21,21,0,0.0,0.718417895960189,0.9807694386061044,0.6342905021099204,0.2654076528937238,0.20318802851984663,0.5507518773448363,0.09012010945328348,0.2744638271932325,0.704290393195565,0.084490701362841,0.08778114487494,0.7953578647415733,0.1829343449361065,0.07343155856837026,0.5156466893821678
22,22,0,0.0,0.01412946493367612,0.7771559862126289,0.8505448772875281,0.9238589093198737,0.7539424366515703,0.7949984084126575,0.8359776975144099,0.3544229639295225,0.9453423820072899,0.6324257998316749,0.6739020703595043,0.30912180759800467,0.591050709141455,0.06685745950051163,0.5094120822463635
23,23,0,0.0,0.3122047606098394,0.1626512447389289,0.30678479850891793,0.7042606516453,0.16919972602953925,0.5749771950728242,0.18859768134512,0.9709109061812949,0.9289625306683399,0.3384084982420285,0.25970895233550445,0.42549571834692335,0.29080276668739347,0.11544277285080162,0.5159844609646872
24,24,0,0.0,0.6472963468445888,0.08778680737829112,0.7463265270049717,0.8551953614510023,0.5857071117228,0.3088022482772606,0.0415554717902155,0.83079282750406,0.293980591897832,0.986949341673265,0.1525412994292689,0.24182500366412332,0.325818800781833,0.06675489753978946,0.5146409738735985
25,25,0,0.0,0.6934943270321501,0.9029768838124534,0.14524865353041794,0.38047450392377613,0.8910251157019852,0.9421257609696454,0.13477684147061347,0.884125471787565,0.96736284967634,0.997967468025345,0.9201716842100223,0.2157301395619397,0.42301042374293146,0.13404765422377052,0.5236451238706658
28,28,0,0.0,0.08483745077825222,0.7628376589904268,0.6150161820076819,0.6899679606010594,0.40445863076143784,0.8954417303132061,0.307855899249511,0.96241981106391,0.12553992100905348,0.810160050227975,0.8994154357843867,0.8945684389581134,0.727155892553445,0.08047846742959919,0.5121792393529286
29,29,0,0.0,0.5498784572809444,0.7972379296028755,0.5262594432916128,0.6045429820135024,0.8399949031864221,0.42058120929386666,0.7701371506481799,0.11032626650412099,0.65316360024862,0.18188637011544498,0.9889888323223356,0.99854079981674,0.62211630837805,0.05959875775563378,0.5159648255449975
30,30,0,0.0,0.6889164805336,0.9475583427789578,0.4901921791819897,0.22139711289131903,0.25332619378757776,0.918241871016303,0.15065448358388148,0.334132621435484,0.5080474248924699,0.3446185244809075,0.7277578571630422,0.36789990068560335,0.5101707822266,0.08588343340861081,0.5170269385104229
32,32,0,0.0,0.6004327236312611,0.8212978288487445,0.743472043387246,0.07478122919755237,0.2968749392602341,0.3443272865652,0.8495687914204699,0.8487019584447949,0.67459065850135,0.715781916588335,0.36136188008918446,0.004912603916430333,0.49495496558578395,0.06914782369681433,0.5133585586147006
33,33,0,0.0,0.5059412267436667,0.5825195873020578,0.9299480245427256,0.8473278061925476,0.06324591384851407,0.7669689519529576,0.71168061828642,0.2574156049611695,0.47246065361160594,0.61667160319158,0.776719479247049,0.5336417215546234,0.3109953462823295,0.05535075265809162,0.5145588279166191
